Location,Team,Abbr,Metro_Population
Atlanta,Hawks,ATL,5710795
Boston,Celtics,BOS,4774321
Charlotte,Hornets,CHO,2426363
Chicago,Bulls,CHI,9551031
Cleveland,Cavaliers,CLE,2060810
Dallas,Mavericks,DAL,7102796
Denver,Nuggets,DEN,2814330
Detroit,Pistons,DET,4302043
Houston,Rockets,HOU,6656947
Indianapolis,Pacers,IND,1988817
Los Angeles (LAC),Clippers,LAC,13340068
Los Angeles (LAL),Lakers,LAL,13340068
Memphis,Grizzlies,MEM,1341746
Miami,Heat,MIA,6012331
Milwaukee,Bucks,MIL,1572245
Minnesota,Timberwolves,MIN,3524583
New Orleans,Pelicans,NOP,1262888
New York City,Knicks,NYK,20182305
Brooklyn,Nets,BRK,20182305
Golden State,Warriors,GSW,7650000
Oklahoma City,Thunder,OKC,1459758
Orlando, Magic,ORL,2387138
Philadelphia,76ers,PHI,6069875
Phoenix, Suns,PHO,4574531
Portland,Trail Blazers,POR,2389228
Sacramento,Kings,SAC,2274194
Utah,Jazz,UTA,1153340
San Antonio,Spurs,SAS,2384075
Toronto,Raptors,TOR,6129934
Washington,Wizards,WAS,6097684
